Название;Автор(ы);Год;Издательство;Ссылка
Обзор современных фреймворков и инструметов, используемых для разработки web-приложений;Байнов Артем Маратович, Кривоногова Анастасия Евгеньевна, Николаев Алексей Сергеевич, Богомолова Ольга Игоревна;2020;Наука без границ;https://cyberleninka.ru/journal/n/nauka-bez-granits
СОВРЕМЕННЫЕ ФРЕЙМВОРКИ ДЛЯ РАЗРАБОТКИ WEB-ПРИЛОЖЕНИЙ;Байдыбеков А.А., Гильванов Р.Г., Молодкин И.А.;2020;Интеллектуальные технологии на транспорте;https://cyberleninka.ru/journal/n/intellektualnye-tehnologii-na-transporte
THE IMPACT OF DIVORCE AND THE STRUCTURE OF THE FAMILY HAS ON THE ACADEMIC PERFORMANCE IN CHILDREN AGED 7-15;Lorena Çadri;2021;Deutsche Internationale Zeitschrift für zeitgenössische Wissenschaft;https://cyberleninka.ru/journal/n/deutsche-internationale-zeitschrift-fur-zeitgenossische-wissenschaft
Key directions of sectoral and spatial changes in the russianindustry;Chasovsky Vladimir;2015;Baltic Region;https://cyberleninka.ru/journal/n/baltic-region
Theoretical aspects of management of development of social infrastructure in the region;Diegtiar Andrii Olegovich, Serohina-Berestovska Oksana Victorivna;2018;Публічне урядування;https://cyberleninka.ru/journal/n/publichne-uryaduvannya
EVENT AS A TRANSFORMATION OF EVERYDAY LIFE MODUS OF SOCIAL BEING;Boreiko Y.G.;2018;Антропологические измерения философских исследований;https://cyberleninka.ru/journal/n/antropologicheskie-izmereniya-filosofskih-issledovaniy
РЕИНЖИНИРИНГ СИСТЕМЫ ЭЛЕКТРОННОГО ДОКУМЕНТООБОРОТА НА НЕФТЕГАЗОВОМ ПРЕДПРИЯТИИ ООО «ЛУКОЙЛ-НИЖНЕВОЛЖСКНЕФТЬ»;Петров М. Ф., Окладникова С. В.;2021;Инженерно-строительный вестник Прикаспия;https://cyberleninka.ru/journal/n/inzhenerno-stroitelnyy-vestnik-prikaspiya
Разработка web-сервиса для автоматизированной генерации документов на основе docx-шаблонов;Карышев Андрей Анатольевич, Афанасьев Владислав Романович;2017;Известия Тульского государственного университета. Технические науки;https://cyberleninka.ru/journal/n/izvestiya-tulskogo-gosudarstvennogo-universiteta-tehnicheskie-nauki
ПРИМЕНЕНИЕ АЛГОРИТМА ПОИСКА АССОЦИАТИВНЫХ ПРАВИЛ APRIORI ДЛЯ ФОРМИРОВАНИЯ РЕКОМЕНДУЕМЫХ ТОВАРНЫХ КОМПЛЕКТОВ;Брусенцев Александр Григорьевич, Кательников Александр Александрович;2021;StudNet;https://cyberleninka.ru/journal/n/studnet
BUILDING A MODEL OF NETWORK INTERACTION BETWEEN THE COMPONENTS OF A MULTIAGENT SYSTEM OF MOBILE ROBOTS;Diduk V., Hrytsenko V., Yeromenko A.;2020;Восточно-Европейский журнал передовых технологий;https://cyberleninka.ru/journal/n/vostochno-evropeyskiy-zhurnal-peredovyh-tehnologiy
